8.036,4.488,127
8.038,4.489,127.5
8.039,4.489,128
8.041,4.49,128.5
8.043,4.491,129
8.045,4.492,129.5
8.046,4.492,130
8.048,4.493,130.5
8.05,4.494,131
8.052,4.495,131.5
8.053,4.496,132
8.055,4.497,132.5
8.057,4.498,133
8.058,4.498,133.5
8.06,4.499,134
8.062,4.5,134.5
8.063,4.501,135
8.065,4.502,135.5
8.067,4.503,136
8.068,4.503,136.5
8.07,4.504,137
8.072,4.505,137.5
8.073,4.506,138
8.075,4.507,138.5
8.076,4.507,139
8.078,4.508,139.5
8.079,4.508,140
8.081,4.509,140.5
8.083,4.51,141
8.085,4.511,141.5
8.086,4.512,142
8.088,4.513,142.5
8.09,4.514,143
8.091,4.514,143.5
8.093,4.515,144
8.095,4.516,144.5
8.096,4.517,145
8.098,4.518,145.5
8.099,4.518,146
8.101,4.519,146.5
8.102,4.519,147
8.104,4.52,147.5
8.105,4.521,148
8.107,4.522,148.5
8.108,4.522,149
8.11,4.523,149.5
8.111,4.524,150
8.113,4.525,150.5
8.114,4.525,151
8.116,4.526,151.5
8.117,4.527,152
8.118,4.527,152.5
8.12,4.528,153
8.121,4.528,153.5
8.123,4.529,154
8.124,4.53,154.5
8.126,4.531,155
8.127,4.531,155.5
8.128,4.532,156
8.13,4.533,156.5
8.131,4.533,157
8.133,4.534,157.5
8.134,4.535,158
8.135,4.535,158.5
8.137,4.536,159
8.138,4.536,159.5
8.139,4.537,160
8.141,4.538,160.5
8.142,4.538,161
8.143,4.539,161.5
8.144,4.539,162
8.145,4.54,162.5
8.146,4.54,163
8.147,4.54,163.5
8.149,4.541,164
8.15,4.542,164.5
8.151,4.542,165
8.153,4.543,165.5
8.154,4.544,166
8.155,4.544,166.5
8.157,4.545,167
8.158,4.545,167.5
8.16,4.546,168
8.161,4.547,168.5
8.163,4.548,169
8.164,4.548,169.5
8.166,4.549,170
8.167,4.55,170.5
8.169,4.551,171
8.171,4.552,171.5
8.172,4.552,172
8.174,4.553,172.5
8.175,4.554,173
8.177,4.555,173.5
8.179,4.556,174
8.18,4.556,174.5
8.182,4.557,175
8.184,4.558,175.5
8.186,4.559,176
8.187,4.559,176.5
8.189,4.56,177
8.191,4.561,177.5
8.192,4.562,178
8.194,4.563,178.5
8.196,4.564,179
8.198,4.565,179.5
8.199,4.565,180
8.202,4.567,180.5
8.204,4.568,181
8.205,4.568,181.5
8.207,4.569,182
8.209,4.57,182.5
8.211,4.571,183
8.213,4.572,183.5
8.215,4.573,184
8.217,4.574,184.5
8.219,4.575,185
8.221,4.576,185.5
8.223,4.577,186
8.224,4.577,186.5
8.226,4.578,187
8.228,4.579,187.5
8.23,4.58,188
8.232,4.581,188.5
8.233,4.582,189
8.235,4.583,189.5
8.237,4.584,190
8.238,4.584,190.5
8.24,4.585,191
8.242,4.587,191.5
8.244,4.588,192
8.245,4.588,192.5
8.247,4.589,193
8.249,4.59,193.5
8.25,4.591,194
8.252,4.592,194.5
8.254,4.593,195
8.255,4.594,195.5
8.257,4.595,196
8.258,4.595,196.5
8.26,4.597,197
8.262,4.598,197.5
8.263,4.598,198
8.265,4.599,198.5
8.266,4.6,199
8.268,4.601,199.5
8.269,4.602,200
8.271,4.603,200.5
8.272,4.603,201
8.274,4.604,201.5
8.275,4.604,202
8.277,4.605,202.5
8.278,4.606,203
8.28,4.607,203.5
8.281,4.607,204
8.283,4.608,204.5
8.284,4.609,205
8.286,4.61,205.5
8.287,4.61,206
8.289,4.611,206.5
8.29,4.611,207
8.292,4.612,207.5
8.293,4.613,208
8.295,4.614,208.5
8.296,4.614,209
8.298,4.615,209.5
8.299,4.616,210
8.301,4.617,210.5
8.302,4.617,211
8.304,4.618,211.5
8.305,4.619,212
8.307,4.62,212.5
8.308,4.621,213
8.31,4.622,213.5
8.311,4.622,214
8.313,4.623,214.5
8.314,4.624,215
8.316,4.625,215.5
8.317,4.626,216
8.319,4.627,216.5
8.32,4.627,217
8.322,4.628,217.5
8.323,4.629,218
8.325,4.63,218.5
8.326,4.631,219
8.328,4.632,219.5
8.329,4.632,220
8.331,4.633,220.5
8.333,4.634,221
8.335,4.635,221.5
8.336,4.636,222
8.338,4.637,222.5
8.34,4.638,223
8.341,4.638,223.5
8.343,4.639,224
8.345,4.64,224.5
8.346,4.641,225
8.348,4.642,225.5
8.349,4.642,226
8.351,4.643,226.5
8.352,4.643,227
8.354,4.644,227.5
8.355,4.645,228
8.357,4.646,228.5
8.358,4.646,229
8.36,4.647,229.5
8.361,4.648,230
8.363,4.649,230.5
8.364,4.649,231
8.366,4.65,231.5
8.367,4.651,232
8.368,4.651,232.5
8.37,4.653,233
8.371,4.653,233.5
8.373,4.654,234
8.374,4.655,234.5
8.376,4.656,235
8.377,4.656,235.5
8.378,4.657,236
8.38,4.658,236.5
8.381,4.659,237
8.383,4.66,237.5
8.384,4.66,238
8.385,4.661,238.5
8.387,4.662,239
8.388,4.663,239.5
8.389,4.663,240
8.39,4.664,240.5
8.391,4.664,241
8.393,4.665,241.5
8.394,4.665,242
8.395,4.666,242.5
8.396,4.666,243
8.397,4.667,243.5
8.398,4.667,244
8.4,4.668,244.5
8.401,4.669,245
8.402,4.669,245.5
8.404,4.67,246
8.405,4.67,246.5
8.406,4.671,247
8.408,4.672,247.5
8.409,4.672,248
8.411,4.673,248.5
8.412,4.674,249
8.414,4.675,249.5
8.415,4.675,250
8.417,4.676,250.5
8.419,4.677,251
8.42,4.678,251.5
8.422,4.679,252
8.423,4.679,252.5
8.425,4.681,253
8.427,4.682,253.5
8.428,4.682,254
8.43,4.683,254.5
8.432,4.684,255
8.434,4.686,255.5
8.435,4.686,256
8.437,4.687,256.5
8.439,4.688,257
8.441,4.689,257.5
8.442,4.69,258
8.444,4.691,258.5
8.446,4.692,259
8.448,4.693,259.5
8.449,4.694,260
8.452,4.695,260.5
8.454,4.696,261
8.456,4.697,261.5
8.458,4.698,262
8.46,4.699,262.5
8.462,4.7,263
8.464,4.701,263.5
8.466,4.702,264
8.468,4.703,264.5
8.47,4.704,265
8.472,4.705,265.5
8.474,4.706,266
8.476,4.707,266.5
8.478,4.708,267
8.479,4.709,267.5
8.481,4.71,268
8.483,4.711,268.5
8.485,4.712,269
8.486,4.712,269.5
8.488,4.713,270
8.49,4.714,270.5
8.492,4.715,271
8.493,4.716,271.5
8.495,4.717,272
8.496,4.717,272.5
8.498,4.718,273
8.5,4.72,273.5
8.501,4.72,274
8.503,4.721,274.5
8.504,4.722,275
8.506,4.723,275.5
8.507,4.723,276
8.509,4.725,276.5
8.511,4.726,277
8.512,4.726,277.5
8.514,4.727,278
8.515,4.728,278.5
8.517,4.729,279
8.518,4.73,279.5
8.519,4.73,280
8.521,4.731,280.5
8.522,4.732,281
8.523,4.732,281.5
8.525,4.733,282
8.526,4.733,282.5
8.527,4.734,283
8.529,4.735,283.5
8.53,4.735,284
8.531,4.736,284.5
8.533,4.737,285
8.534,4.737,285.5
8.535,4.737,286
8.537,4.738,286.5
8.538,4.739,287
8.54,4.74,287.5
8.541,4.74,288
8.543,4.741,288.5
8.544,4.742,289
8.546,4.743,289.5
8.547,4.743,290
8.549,4.744,290.5
8.55,4.745,291
8.552,4.746,291.5
8.553,4.746,292
8.555,4.748,292.5
8.557,4.749,293
8.558,4.749,293.5
8.56,4.75,294
8.561,4.751,294.5
8.563,4.752,295
8.565,4.753,295.5
8.566,4.754,296
8.568,4.755,296.5
8.569,4.755,297
8.571,4.756,297.5
8.573,4.757,298
8.574,4.758,298.5
8.576,4.759,299
8.578,4.76,299.5
8.579,4.761,300
8.581,4.762,300.5
8.583,4.763,301
8.585,4.764,301.5
8.586,4.764,302
8.588,4.765,302.5
8.59,4.766,303
8.592,4.767,303.5
8.593,4.768,304
8.595,4.769,304.5
8.597,4.769,305
8.599,4.77,305.5
8.6,4.771,306
8.602,4.772,306.5
8.604,4.773,307
8.606,4.774,307.5
8.607,4.774,308
8.609,4.775,308.5
8.611,4.776,309
8.613,4.777,309.5
8.614,4.778,310
8.616,4.779,310.5
8.618,4.78,311
8.62,4.781,311.5
8.621,4.781,312
8.623,4.783,312.5
8.625,4.784,313
8.627,4.785,313.5
8.628,4.785,314
8.63,4.786,314.5
8.632,4.788,315
8.634,4.789,315.5
8.635,4.789,316
8.637,4.79,316.5
8.639,4.791,317
8.641,4.793,317.5
8.642,4.793,318
8.644,4.794,318.5
8.646,4.795,319
8.648,4.796,319.5
8.649,4.797,320
8.651,4.798,320.5
8.653,4.799,321
8.655,4.8,321.5
8.657,4.801,322
8.658,4.801,322.5
8.66,4.802,323
8.662,4.803,323.5
8.664,4.804,324
8.666,4.805,324.5
8.667,4.806,325
8.669,4.807,325.5
8.671,4.808,326
8.673,4.809,326.5
8.674,4.809,327
8.676,4.81,327.5
8.678,4.811,328
8.68,4.812,328.5
8.681,4.812,329
8.683,4.813,329.5
8.685,4.814,330
8.687,4.815,330.5
8.688,4.816,331
8.69,4.817,331.5
8.692,4.818,332
8.694,4.819,332.5
8.695,4.82,333
8.697,4.821,333.5
8.699,4.822,334
8.7,4.823,334.5
8.702,4.824,335
8.704,4.825,335.5
8.706,4.826,336
8.707,4.826,336.5
8.709,4.828,337
8.711,4.829,337.5
8.713,4.83,338
8.714,4.83,338.5
8.716,4.831,339
8.718,4.833,339.5
8.719,4.833,340
8.721,4.834,340.5
8.722,4.835,341
8.723,4.835,341.5
8.725,4.836,342
8.726,4.836,342.5
8.728,4.837,343
8.729,4.838,343.5
8.731,4.839,344
8.732,4.839,344.5
8.734,4.84,345
8.735,4.841,345.5
8.737,4.842,346
8.739,4.842,346.5
8.74,4.843,347
8.742,4.844,347.5
8.744,4.845,348
8.746,4.846,348.5
8.748,4.847,349
8.749,4.847,349.5
8.751,4.848,350
8.753,4.849,350.5
8.755,4.85,351
8.757,4.852,351.5
8.759,4.853,352
8.76,4.853,352.5
8.762,4.854,353
8.764,4.855,353.5
8.766,4.857,354
8.768,4.858,354.5
8.77,4.859,355
8.772,4.86,355.5
8.774,4.861,356
8.776,4.862,356.5
8.778,4.863,357
8.78,4.864,357.5
8.782,4.865,358
8.784,4.866,358.5
8.786,4.868,359
8.788,4.869,359.5
8.789,4.869,360
8.792,4.871,360.5
8.795,4.873,361
8.798,4.874,361.5
8.801,4.876,362
8.803,4.877,362.5
8.806,4.879,363
8.808,4.88,363.5
8.81,4.881,364
8.812,4.882,364.5
8.815,4.884,365
8.817,4.885,365.5
8.819,4.886,366
8.821,4.887,366.5
8.823,4.888,367
8.824,4.889,367.5
8.826,4.89,368
8.828,4.891,368.5
8.83,4.892,369
8.831,4.893,369.5
8.833,4.894,370
8.835,4.895,370.5
8.836,4.895,371
8.838,4.896,371.5
8.839,4.897,372
8.841,4.898,372.5
8.842,4.899,373
8.843,4.899,373.5
8.845,4.9,374
8.846,4.901,374.5
8.847,4.901,375
8.849,4.902,375.5
8.85,4.903,376
8.851,4.904,376.5
8.852,4.904,377
8.854,4.905,377.5
8.855,4.906,378
8.856,4.906,378.5
8.857,4.907,379
8.858,4.907,379.5
8.859,4.908,380
8.86,4.909,380.5
8.861,4.909,381
8.861,4.909,381.5
8.862,4.91,382
8.863,4.91,382.5
8.864,4.911,383
8.864,4.911,383.5
8.865,4.911,384
8.866,4.912,384.5
8.867,4.912,385
8.869,4.914,385.5
8.87,4.914,386
8.871,4.915,386.5
8.872,4.915,387
8.873,4.916,387.5
8.875,4.917,388
8.876,4.917,388.5
8.878,4.919,389
8.879,4.919,389.5
8.881,4.92,390
8.882,4.921,390.5
8.884,4.922,391
8.885,4.922,391.5
8.887,4.924,392
8.889,4.925,392.5
8.891,4.926,393
8.892,4.926,393.5
8.894,4.927,394
8.896,4.929,394.5
8.898,4.93,395
8.9,4.931,395.5
8.902,4.932,396
8.904,4.933,396.5
8.906,4.934,397
8.908,4.935,397.5
8.911,4.937,398
8.913,4.938,398.5
8.915,4.939,399
8.917,4.94,399.5
8.919,4.941,400
8.922,4.943,400.5
8.924,4.944,401
8.927,4.946,401.5
8.929,4.947,402
8.932,4.948,402.5
8.934,4.95,403
8.937,4.951,403.5
8.939,4.952,404
8.942,4.954,404.5
8.944,4.955,405
8.947,4.957,405.5
8.949,4.958,406
8.952,4.96,406.5
8.955,4.961,407
8.957,4.962,407.5
8.96,4.964,408
8.963,4.966,408.5
8.965,4.967,409
8.968,4.968,409.5
8.971,4.97,410
8.974,4.972,410.5
8.977,4.973,411
8.979,4.975,411.5
8.982,4.976,412
8.985,4.978,412.5
8.988,4.98,413
8.991,4.981,413.5
8.994,4.983,414
8.997,4.984,414.5
9,4.986,415
9.002,4.987,415.5
9.005,4.989,416
9.008,4.991,416.5
9.011,4.992,417
9.014,4.994,417.5
9.017,4.996,418
9.02,4.997,418.5
9.023,4.999,419
9.026,5.001,419.5
9.029,5.002,420
9.033,5.004,420.5
9.036,5.006,421
9.039,5.008,421.5
9.042,5.009,422
9.045,5.011,422.5
9.049,5.013,423
9.052,5.015,423.5
9.055,5.017,424
9.058,5.018,424.5
9.061,5.02,425
9.065,5.022,425.5
9.068,5.024,426
9.071,5.025,426.5
9.074,5.027,427
9.077,5.029,427.5
9.081,5.031,428
9.084,5.033,428.5
9.087,5.034,429
9.09,5.036,429.5
9.094,5.038,430
9.097,5.04,430.5
9.1,5.042,431
9.103,5.043,431.5
9.107,5.045,432
9.11,5.047,432.5
9.113,5.049,433
9.116,5.05,433.5
9.12,5.053,434
9.123,5.054,434.5
9.126,5.056,435
9.13,5.058,435.5
9.133,5.06,436
9.136,5.061,436.5
9.139,5.063,437
9.143,5.065,437.5
9.146,5.067,438
9.149,5.069,438.5
9.153,5.071,439
9.156,5.073,439.5
9.159,5.074,440
9.163,5.076,440.5
9.166,5.078,441
9.169,5.08,441.5
9.173,5.082,442
9.176,5.084,442.5
9.179,5.085,443
9.183,5.088,443.5
9.186,5.089,444
9.19,5.091,444.5
9.193,5.093,445
9.196,5.095,445.5
9.2,5.097,446
9.203,5.099,446.5
9.207,5.101,447
9.21,5.102,447.5
9.214,5.105,448
9.217,5.106,448.5
9.221,5.109,449
9.224,5.11,449.5
9.228,5.112,450
9.231,5.114,450.5
9.235,5.116,451
9.238,5.118,451.5
9.242,5.12,452
9.245,5.122,452.5
9.249,5.124,453
9.252,5.126,453.5
9.256,5.128,454
9.26,5.13,454.5
9.263,5.132,455
9.267,5.134,455.5
9.27,5.136,456
9.274,5.138,456.5
9.278,5.14,457
9.281,5.142,457.5
9.285,5.144,458
9.289,5.146,458.5
9.292,5.148,459
9.296,5.15,459.5
9.299,5.152,460
9.303,5.154,460.5
9.307,5.156,461
9.31,5.158,461.5
9.314,5.16,462
9.317,5.162,462.5
9.321,5.164,463
9.325,5.166,463.5
9.328,5.168,464
9.332,5.17,464.5
9.336,5.172,465
9.339,5.174,465.5
9.343,5.176,466
9.347,5.178,466.5
9.351,5.181,467
9.354,5.182,467.5
9.358,5.184,468
9.362,5.187,468.5
9.366,5.189,469
9.369,5.191,469.5
9.373,5.193,470
9.377,5.195,470.5
9.381,5.197,471
9.384,5.199,471.5
9.388,5.201,472
9.392,5.203,472.5
9.396,5.206,473
9.4,5.208,473.5
9.404,5.21,474
9.407,5.212,474.5
9.411,5.214,475
9.415,5.216,475.5
9.419,5.218,476
9.423,5.22,476.5
9.426,5.222,477
9.43,5.224,477.5
9.434,5.227,478
9.438,5.229,478.5
9.442,5.231,479
9.446,5.233,479.5
9.449,5.235,480
9.454,5.238,480.5
9.458,5.24,481
9.462,5.242,481.5
9.466,5.244,482
9.47,5.247,482.5
9.474,5.249,483
9.478,5.251,483.5
9.482,5.253,484
9.486,5.255,484.5
9.49,5.258,485
9.493,5.259,485.5
9.497,5.261,486
9.501,5.264,486.5
9.505,5.266,487
